hour,avg_traffic_volume
0,834.9847740667976
1,516.3390327308256
2,388.35364041604754
3,371.0908641975309
4,702.5518890483022
5,2094.573436742608
6,4140.503593675132
7,4740.181337181337
8,4587.497115384615
9,4385.277502477701
10,4184.135838150289
11,4465.569230769231
12,4718.031729785056
13,4714.6528361344535
14,4931.888776028441
15,5240.459906880496
16,5663.756539235413
17,5310.076047594413
18,4263.563792233989
19,3275.2064384261625
20,2834.66750884285
21,2668.940464177598
22,2199.405717151454
23,1469.1352941176472
